id,recommended_place,state,budget_preference,original_budget_preference,budget_changed,budget_confidence,budget_audit_reason,activity_interest,trip_duration,group_type,transportation_preference,accommodation_preference,destination_type,category,record_type,rating_imputed,price_myr_imputed,price_range_imputed,place_name,city,rating,rating_was_imputed,price_myr,price_range,duration,latitude,longitude,booking_link,source,original_recommended_place,original_place_name,original_category,original_destination_type,original_activity_interest,original_price_range,original_price_range_imputed,include_for_generator,price_basis_clean,data_quality_flags
5039,Attalea Garden,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Attalea Garden,,,True,0.0,Free,,2.6513457,101.7293377,,OSM,Attalea Garden,Attalea Garden,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5040,Avenue Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Avenue Park,,,True,0.0,Free,,3.1542421,101.7518185,,OSM,Avenue Park,Avenue Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5041,Aviary 'N' Bunny Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Taxi/Grab,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.8,0.0,Free,Aviary 'N' Bunny Park,,,True,0.0,Free,,3.0989991,101.5144222,,OSM,Aviary 'N' Bunny Park,Aviary 'N' Bunny Park,Sightseeing & Tours,City & Urban,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
5042,Bamboo Garden,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bamboo Garden,,,True,0.0,Free,,3.2238572,101.6167177,,OSM,Bamboo Garden,Bamboo Garden,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5043,Bc Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Group of Friends,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bc Park,,,True,0.0,Free,,3.2353469,101.6996408,,OSM,Bc Park,Bc Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5044,Bk1 Park @ Hindu Temple,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Culture,1 Day,Family,Taxi/Grab,Hostel,Heritage & Culture,Religious & Cultural,attraction,4.2,0.0,Free,Bk1 Park @ Hindu Temple,,,True,0.0,Free,,3.0520161,101.648477,,OSM,Bk1 Park @ Hindu Temple,Bk1 Park @ Hindu Temple,Nature & Outdoors,Heritage & Culture,Nature,Free,Free,True,source_price,category_reclassified_by_keyword
5045,Bk5 Hening Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bk5 Hening Park,,,True,0.0,Free,,3.0360881,101.6566935,,OSM,Bk5 Hening Park,Bk5 Hening Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5046,Bk5D Harmony Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bk5D Harmony Park,,,True,0.0,Free,,3.0354803,101.6473523,,OSM,Bk5D Harmony Park,Bk5D Harmony Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5047,Bmc Section 9 Park 1,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bmc Section 9 Park 1,,,True,0.0,Free,,3.0584519,101.7879569,,OSM,Bmc Section 9 Park 1,Bmc Section 9 Park 1,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5048,Bukit Hulu Buluh,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Hulu Buluh,,,True,0.0,Free,,3.2149093,101.5596879,,OSM,Bukit Hulu Buluh,Bukit Hulu Buluh,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5049,Bukit Hulu Gombak,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Hulu Gombak,,,True,0.0,Free,,3.328317,101.6693687,,OSM,Bukit Hulu Gombak,Bukit Hulu Gombak,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5050,Bukit Hulu Kalung,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Hulu Kalung,,,True,0.0,Free,,3.3708458,101.6933262,,OSM,Bukit Hulu Kalung,Bukit Hulu Kalung,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5051,Bukit Chorocho,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Chorocho,,,True,0.0,Free,,3.6623771,101.7238495,,OSM,Bukit Chorocho,Bukit Chorocho,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5052,Bukit Condong,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Condong,,,True,0.0,Free,,3.1610844,101.8672299,,OSM,Bukit Condong,Bukit Condong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5053,Bukit Ekspo Upm,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bukit Ekspo Upm,,,True,0.0,Free,,2.9873305,101.7112128,,OSM,Bukit Ekspo Upm,Bukit Ekspo Upm,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5054,Bukit Enggang,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Enggang,,,True,0.0,Free,,3.0819748,101.8027925,,OSM,Bukit Enggang,Bukit Enggang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5055,Bukit Gasing,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bukit Gasing,,,True,0.0,Free,,3.091547,101.6593639,,OSM,Bukit Gasing,Bukit Gasing,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5056,Bandar Sungai Long Sl6 Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Taxi/Grab,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bandar Sungai Long Sl6 Park,,,True,0.0,Free,,3.0492382,101.8046091,,OSM,Bandar Sungai Long Sl6 Park,Bandar Sungai Long Sl6 Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5057,Bukit Ginting Prah,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Ginting Prah,,,True,0.0,Free,,3.54696,101.4088082,,OSM,Bukit Ginting Prah,Bukit Ginting Prah,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5058,Bukit Gobang,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Gobang,,,True,0.0,Free,,3.0653958,101.8898463,,OSM,Bukit Gobang,Bukit Gobang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5059,Bukit Guling Ayam,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Guling Ayam,,,True,0.0,Free,,3.243639,101.7161606,,OSM,Bukit Guling Ayam,Bukit Guling Ayam,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5060,Bukit Hitam,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Taxi/Grab,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Hitam,,,True,0.0,Free,,2.9964249,101.6341902,,OSM,Bukit Hitam,Bukit Hitam,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5061,Bukit Hulu Bernam,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Hulu Bernam,,,True,0.0,Free,,3.7629632,101.6261195,,OSM,Bukit Hulu Bernam,Bukit Hulu Bernam,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5062,Bandar Kinrara 5 Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bandar Kinrara 5 Park,,,True,0.0,Free,,3.037207,101.6387536,,OSM,Bandar Kinrara 5 Park,Bandar Kinrara 5 Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5063,Bandar Kinrara 5B Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Taxi/Grab,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bandar Kinrara 5B Park,,,True,0.0,Free,,3.0374681,101.6439641,,OSM,Bandar Kinrara 5B Park,Bandar Kinrara 5B Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5064,Bandar Mahkota Cheras Lake Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bandar Mahkota Cheras Lake Park,,,True,0.0,Free,,3.0523056,101.7881811,,OSM,Bandar Mahkota Cheras Lake Park,Bandar Mahkota Cheras Lake Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5065,Bandar Puteri Town Park,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Group of Friends,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bandar Puteri Town Park,,,True,0.0,Free,,3.0191393,101.6166596,,OSM,Bandar Puteri Town Park,Bandar Puteri Town Park,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5066,Broga Hill Peak 3,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.7,0.0,Free,Broga Hill Peak 3,,,True,0.0,Free,,2.9503231,101.9029392,,OSM,Broga Hill Peak 3,Broga Hill Peak 3,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
5067,Bukit 123,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bukit 123,,,True,0.0,Free,,3.0128423,101.6504223,,OSM,Bukit 123,Bukit 123,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5068,Beach Pool Club,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Car/Self-Drive,Homestay,Beach & Island,Nature & Outdoors,attraction,4.2,0.0,Free,Beach Pool Club,,,True,0.0,Free,,2.8862959,101.6180083,,OSM,Beach Pool Club,Beach Pool Club,Nature & Outdoors,Beach & Island,Nature,Free,Free,True,source_price,
5069,Bukit Matang Pagar,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bukit Matang Pagar,,,True,0.0,Free,,3.2330699,101.5830016,,OSM,Bukit Matang Pagar,Bukit Matang Pagar,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5070,Bukit Mayong,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Mayong,,,True,0.0,Free,,3.2820697,101.4299655,,OSM,Bukit Mayong,Bukit Mayong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5071,Bukit Melawati Viewpoint,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.8,0.0,Free,Bukit Melawati Viewpoint,,,True,0.0,Free,,3.34151,101.2446063,,OSM,Bukit Melawati Viewpoint,Bukit Melawati Viewpoint,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
5072,Bukit Kulai,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Kulai,,,True,0.0,Free,,3.1374094,101.4910984,,OSM,Bukit Kulai,Bukit Kulai,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5073,Bukit Kunong,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Kunong,,,True,0.0,Free,,3.5737297,101.7601838,,OSM,Bukit Kunong,Bukit Kunong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5074,Bukit Kutu Hill Station,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bukit Kutu Hill Station,,,True,0.0,Free,,3.5429991,101.7201801,,OSM,Bukit Kutu Hill Station,Bukit Kutu Hill Station,Heritage & Museum,Highland & Nature,Culture,Free,Free,True,source_price,category_reclassified_by_keyword
5075,Bukit Kutu South,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Kutu South,,,True,0.0,Free,,3.5352975,101.7276872,,OSM,Bukit Kutu South,Bukit Kutu South,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5076,Bukit Lagong,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Solo,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bukit Lagong,,,True,0.0,Free,,3.2514511,101.6096145,,OSM,Bukit Lagong,Bukit Lagong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5077,Bukit Bertam,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Bertam,,,True,0.0,Free,,3.6012897,101.6397532,,OSM,Bukit Bertam,Bukit Bertam,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5078,Bukit Beruang,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Tour Bus,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Beruang,,,True,0.0,Free,,3.2408895,101.6172051,,OSM,Bukit Beruang,Bukit Beruang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5079,Bukit Besire,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Public Transport,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Besire,,,True,0.0,Free,,3.7499431,101.416329,,OSM,Bukit Besire,Bukit Besire,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5080,Bukit Lapo,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Lapo,,,True,0.0,Free,,3.2518861,101.6033929,,OSM,Bukit Lapo,Bukit Lapo,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5081,Bukit Lipat Kajang,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Couple,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bukit Lipat Kajang,,,True,0.0,Free,,3.0247514,101.4458931,,OSM,Bukit Lipat Kajang,Bukit Lipat Kajang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5082,Bukit Lotong Barau,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Car/Self-Drive,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Lotong Barau,,,True,0.0,Free,,3.2708174,101.6241574,,OSM,Bukit Lotong Barau,Bukit Lotong Barau,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5083,Bukit Madei,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Family,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Madei,,,True,0.0,Free,,3.2838346,101.7080409,,OSM,Bukit Madei,Bukit Madei,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5084,Bukit Malawati,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Couple,Car/Self-Drive,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Malawati,,,True,0.0,Free,,3.3422567,101.2504293,,OSM,Bukit Malawati,Bukit Malawati,Heritage & Museum,Highland & Nature,Culture,Free,Free,True,source_price,category_reclassified_by_keyword
5085,Bukit Cheeding,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Cheeding,,,True,0.0,Free,,2.9157396,101.573689,,OSM,Bukit Cheeding,Bukit Cheeding,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5086,Bukit Chenuang,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Chenuang,,,True,0.0,Free,,3.2378753,101.8229496,,OSM,Bukit Chenuang,Bukit Chenuang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5087,Bukit Cherakah,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Taxi/Grab,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.1,0.0,Free,Bukit Cherakah,,,True,0.0,Free,,3.2308048,101.393849,,OSM,Bukit Cherakah,Bukit Cherakah,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5088,Bukit Batu Chondong,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Family,Public Transport,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.2,0.0,Free,Bukit Batu Chondong,,,True,0.0,Free,,3.2206636,101.787111,,OSM,Bukit Batu Chondong,Bukit Batu Chondong,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5089,Bukit Batu Karpet,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Solo,Car/Self-Drive,Hostel,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Batu Karpet,,,True,0.0,Free,,3.2945,101.7613551,,OSM,Bukit Batu Karpet,Bukit Batu Karpet,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5090,Bukit Batu Kumbang,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,2-3 Days,Couple,Taxi/Grab,Budget Hotel,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bukit Batu Kumbang,,,True,0.0,Free,,3.2293306,101.8166428,,OSM,Bukit Batu Kumbang,Bukit Batu Kumbang,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5091,Bukit Batu Pahat,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,Half Day,Family,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.3,0.0,Free,Bukit Batu Pahat,,,True,0.0,Free,,3.5593732,101.6785728,,OSM,Bukit Batu Pahat,Bukit Batu Pahat,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5092,Bukit Belata,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Solo,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.0,0.0,Free,Bukit Belata,,,True,0.0,Free,,3.6588654,101.4747691,,OSM,Bukit Belata,Bukit Belata,Nature & Outdoors,Highland & Nature,Nature,Free,Free,True,source_price,
5093,Bukit Gasing - KL View,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Tour Bus,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.9,0.0,Free,Bukit Gasing - KL View,,,True,0.0,Free,,3.0917034,101.6596913,,OSM,Bukit Gasing - Kl View,Bukit Gasing - Kl View,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
5094,Bukit Gasing - Puchong View,Selangor,Budget,Budget,False,medium,known_free_or_public_place,Nature,1 Day,Group of Friends,Public Transport,Homestay,Highland & Nature,Nature & Outdoors,attraction,4.7,0.0,Free,Bukit Gasing - Puchong View,,,True,0.0,Free,,3.0914515,101.6580206,,OSM,Bukit Gasing - Puchong View,Bukit Gasing - Puchong View,Sightseeing & Tours,Highland & Nature,Sightseeing,Free,Free,True,source_price,category_reclassified_by_keyword
